Article,Summary,Authors,Date,Access,Figure,Link paper,TCR,BCR,T CELL,B CELL,NKC,CD4,CD8,DEEP LEARNING,MACHINE LEARNING,ML,DL,CNN,LSTM,HLA
"Oxeiptosis, a ROS-induced caspase-independent apoptosis-like cell-death pathway","Reactive oxygen species (ROS) are generated by cells during viral infection. Pichlmair and colleagues demonstrate a ROS-dependent form of cell death, ‘oxeiptosis’, that resembles apoptosis but uses a pathway distinct from all previously described death pathways.",Cathleen HolzeChloé MichaudelAndreas Pichlmair,18 Dec 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-017-0013-y/MediaObjects/41590_2017_13_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-017-0013-y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diversification of human plasmacytoid predendritic cells in response to a single stimulus,Plasmacytoid dendritic cells (pDCs) are known for their copious IFN-I production. Soumelis and colleagues show that functionally and transcriptomically distinct human pDC populations can be generated from a single microbial or cytokine stimulus.,Solana G. AlculumbreViolaine Saint-AndréVassili Soumelis,04 Dec 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-017-0012-z/MediaObjects/41590_2017_12_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-017-0012-z,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Viral unmasking of cellular 5S rRNA pseudogene transcripts induces RIG-I-mediated immunity,"RIG-I is a cytosolic RNA sensor. Gack and colleagues show that herpesviruses, duplex DNA viruses, also activate RIG-I by inducing cytoplasmic translocation and unmasking of an endogenous host 5S ribosomal pseudogene RNA, RNA5SP141.",Jessica J. ChiangKonstantin M. J. SparrerMichaela U. Gack,27 Nov 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-017-0005-y/MediaObjects/41590_2017_5_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-017-0005-y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engagement of MHC class I by the inhibitory receptor LILRB1 suppresses macrophages and is a target of cancer immunotherapy,Host cells display ‘don’t eat me’ signals to protect themselves from phagocytosis. Maute and colleagues identify a novel ‘don’t eat me’ system based on recognition of MHC class I by the phagocyte-expressed inhibitory molecule LILRB1.,Amira A. BarkalKipp WeiskopfRoy L. Maute,27 Nov 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-017-0004-z/MediaObjects/41590_2017_4_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-017-0004-z,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nuclear RNF2 inhibits interferon function by promoting K33-linked STAT1 disassociation from DNA,Cao and colleagues identify the E3 ubiquitin ligase RNF2 as an inhibitor of interferon-dependent antiviral responses that acts by promoting the K33-linked polyubiquitination of STAT1 and its disassociation from DNA.,Shuo LiuMinghong JiangXuetao Cao,21 Nov 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-017-0003-0/MediaObjects/41590_2017_3_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-017-0003-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-cell analysis reveals the continuum of human lympho-myeloid progenitor cells,Vyas and colleagues show that a continuum of hemopoietic progenitor cells from human cord blood execute lymphoid and myeloid differentiation.,Dimitris KaramitrosBilyana StoilovaParesh Vyas,21 Nov 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-017-0001-2/MediaObjects/41590_2017_1_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-017-0001-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Atad3a suppresses Pink1-dependent mitophagy to maintain homeostasis of hematopoietic progenitor cells,The survival of hematopoietic stem cells requires tight regulation of mitophagy. Lin and colleagues show that Atad3a regulates mitophagy in these cells by sequestering the mitophagy initiator Pink1 and directing its import via the mitochondrial Tom40–Tim23 complex.,Guoxiang JinChuan XuHui-Kuan Lin,21 Nov 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-017-0002-1/MediaObjects/41590_2017_2_Fig1_HTML.jpg,https://www.nature.com/articles/s41590-017-0002-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Oxidative stress controls regulatory T cell apoptosis and suppressor activity and PD-L1-blockade resistance in tumor,"The tumor microenvironment represents a stressful cellular environment. Zou and colleagues show that Treg cells in tumors have heightened sensitivity to apoptosis, but unexpectedly this increases their suppressive potency.",Tomasz MajWei WangWeiping Zou,30 Oct 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3868/MediaObjects/41590_2017_Article_BFni3868_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3868,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Direction of leukocyte polarization and migration by the phosphoinositide-transfer protein TIPE2,The polarization of leukocytes toward chemoattractants is essential for their directed migration. Chen and colleagues show that the phosphoinositide-transfer protein TIPE2 functions as a coordinator of leukocyte polarity.,Svetlana A FayngertsZhaojun WangYouhai H Chen,23 Oct 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3866/MediaObjects/41590_2017_Article_BFni3866_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metabolic shift induced by systemic activation of T cells in PD-1-deficient mice perturbs brain monoamines and emotional behavior,"Fagarasan and colleagues show that excessive activation of T cells in mice deficient in the inhibitory receptor PD-1 causes a systemic decrease in tryptophan and tyrosine, which leads to deficiency in serotonin and dopamine in the brain and behavioral changes.",Michio MiyajimaBaihao ZhangSidonia Fagarasan,23 Oct 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3867/MediaObjects/41590_2017_Article_BFni3867_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3867,0,0,1,0,0,0,0,0,0,0,0,0,0,0
