Article,Summary,Authors,Date,Access,Figure,Link paper,TCR,BCR,T CELL,B CELL,NKC,CD4,CD8,DEEP LEARNING,MACHINE LEARNING,HLA
The receptor DNGR-1 signals for phagosomal rupture to promote cross-presentation of dead-cell-associated antigens,The mechanism by which ingested material accesses the cytosol for cross-presentation is unclear. Caetano Reis e Sousa and colleagues demonstrate that signaling via the lectin receptor DNGR-1 ruptures the phagosome and releases its contents to the cytosol for cross-presentation.,Johnathan CantonHanna BleesCaetano Reis e Sousa,21 Dec 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00824-x/MediaObjects/41590_2020_824_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00824-x,0,0,1,0,0,0,1,0,0,0
Establishment of an African green monkey model for COVID-19 and protection against re-infection,"Geisbert and colleagues report that African green monkeys infected with the SARS-CoV-2 virus develop disease symptoms that closely resemble those seen in infected humans, making this animal model a useful surrogate to investigate immune responses to coronavirus infection.",Courtney WoolseyViktoriya BorisevichRobert W. Cross,24 Nov 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00835-8/MediaObjects/41590_2020_835_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00835-8,0,0,1,0,0,0,0,0,0,0
MEK inhibition reprograms CD8+ T lymphocytes into memory stem cells with potent antitumor effects,"Stem cell–like memory (TSCM) CD8+ T cells are beneficial in antitumor responses, in part due to their ability to self-renew. Khleif and colleagues demonstrate that inhibition of the kinase MEK in CD8+ T cells favors induction of TSCM and superior antitumor responses.",Vivek VermaNazli JafarzadehSamir N. Khleif,23 Nov 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00818-9/MediaObjects/41590_2020_818_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00818-9,0,0,1,0,0,0,1,0,0,0
CRELD1 modulates homeostasis of the immune system in mice and humans,"Within a human cohort, wide variation can occur with constitutively expressed proteins. Aschenbrenner and colleagues found that individuals with lower CRELD1 expression have decreased frequencies of naive CD4+ T cells. Mice with conditional Creld1 deficiency also exhibit a phenotype associated with immunological aging.",Lorenzo BonaguroMaren KöhneAnna C. Aschenbrenner,09 Nov 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00811-2/MediaObjects/41590_2020_811_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00811-2,0,0,1,0,0,1,0,0,0,0
Proinflammatory IgG Fc structures in patients with severe COVID-19,"COVID-19 is often characterized by a hyperinflammatory syndrome. Wang and colleagues show that low levels of IgG fucosylation enhance interactions with activating Fcγ receptors, boosting the inflammatory cytokines associated with severe COVID-19.",Saborni ChakrabortyJoseph GonzalezTaia T. Wang,09 Nov 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00828-7/MediaObjects/41590_2020_828_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00828-7,0,0,0,0,0,0,0,0,0,0
Intravenous nanoparticle vaccination generates stem-like TCF1+ neoantigen-specific CD8+ T cells,Seder and colleagues use a self-assembling nanoparticle vaccine and adjuvant to expand stem-like CD8+ T cells and trigger potent antitumor responses.,Faezzah BaharomRamiro A. Ramirez-ValdezRobert A. Seder,02 Nov 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00810-3/MediaObjects/41590_2020_810_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00810-3,0,0,1,0,0,0,1,0,0,0
Early emergence of T central memory precursors programs clonal dominance during chronic viral infection,T cell memory formation is often described as occurring during the chronic phases of infection. Buchholz and colleagues use the phenomenon of ‘memory inflation’ following cytomegalovirus infection to show that a tiny subset of self-renewing T cells branch off early from the bulk population to generate memory.,Simon GrassmannLorenz MihatschVeit R. Buchholz,26 Oct 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00807-y/MediaObjects/41590_2020_807_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00807-y,0,0,1,0,0,0,1,0,0,0
A new neutrophil subset promotes CNS neuron survival and axon regeneration,Segal and colleagues identify a neuroprotective immature-like neutrophil subset that participates in dectin-1-dependent axon repair and regeneration in the central nervous system.,Andrew R. SasKevin S. CarbajalBenjamin M. Segal,26 Oct 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00813-0/MediaObjects/41590_2020_813_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00813-0,0,0,0,0,0,0,0,0,0,0
A new lymphoid-primed progenitor marked by Dach1 downregulation identified with single cell multi-omics,"Exploring transcriptional heterogeneity of cKit+Sca1+ HSPCs using single cell RNA-sequencing, Naik and colleagues identify a population termed ‘lymphoid primed progenitors’ as the earliest stage of lymphoid lineage commitment, marked by downregulation of the stem/myeloid transcription factor Dach1.",Daniela Amann-ZalcensteinLuyi TianShalin H. Naik,19 Oct 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0799-x/MediaObjects/41590_2020_799_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0799-x,0,0,0,0,0,0,0,0,0,0
Two subsets of stem-like CD8+ memory T cell progenitors with distinct fate commitments in humans,"The identity of stem-cell memory progenitor cells has been unclear. Lugli and colleagues use high-dimensional approaches to identify two new progenitor populations of human T cells—one giving rise to a functional lineage, the other to an exhausted-like one.",Giovanni GallettiGabriele De SimoneEnrico Lugli,12 Oct 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0791-5/MediaObjects/41590_2020_791_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0791-5,0,0,1,0,0,0,1,0,0,0
